actions,calories,carbs,fat,name,restaurant
http://chubbygrub.com/food/bacon-and-egg-burrito/,560,,32,Bacon & Egg Burrito,Carl's Jr.
http://chubbygrub.com/food/bacon-egg-burrito-3/,490,36,26,Bacon Egg Burrito,Taco Bueno
http://chubbygrub.com/food/bacon-egg-taco-3/,240,18,13,Bacon Egg Taco,Taco Bueno
http://chubbygrub.com/food/bacon-egg-and-cheese/,540,54,26,"Bacon, Egg & Cheese",Charley's Grilled Subs
http://chubbygrub.com/food/big-country-breakfast-burrito/,750,,44,Big Country® Breakfast Burrito,Carl's Jr.
http://chubbygrub.com/food/chicken-breakfast-burrito/,450,43,20,Chicken Breakfast Burrito,Chick-fil-A
http://chubbygrub.com/food/egg-and-cheese/,470,54,17,Egg & Cheese,Charley's Grilled Subs
http://chubbygrub.com/food/ham-egg-and-cheese/,540,55,19.5,"Ham, Egg & Cheese",Charley's Grilled Subs
http://chubbygrub.com/food/loaded-breakfast-burrito/,780,,48,Loaded Breakfast Burrito,Carl's Jr.
http://chubbygrub.com/food/mcskillet-burrito-with-sausage/,610,44,36,McSkillet™ Burrito with Sausage,McDonald's
http://chubbygrub.com/food/meat-lovers-burrito-3/,560,37,32,Meat Lovers Burrito,Taco Bueno
http://chubbygrub.com/food/meat-lovers-taco-3/,310,19,20,Meat Lovers Taco,Taco Bueno
http://chubbygrub.com/food/potato-egg-burrito-3/,460,47,22,Potato Egg Burrito,Taco Bueno
http://chubbygrub.com/food/potato-egg-taco-3/,230,24,10,Potato Egg Taco,Taco Bueno
http://chubbygrub.com/food/potato-stix-3/,280,18,22,Potato Stix,Taco Bueno
http://chubbygrub.com/food/sausage-breakfast-burrito/,510,40,29,Sausage Breakfast Burrito,Chick-fil-A
http://chubbygrub.com/food/sausage-burrito/,300,26,16,Sausage Burrito,McDonald's
http://chubbygrub.com/food/sausage-egg-burrito-3/,440,37,23,Sausage Egg Burrito,Taco Bueno
http://chubbygrub.com/food/sausage-egg-taco-3/,250,19,15,Sausage Egg Taco,Taco Bueno
http://chubbygrub.com/food/sausage-egg-and-cheese/,604,54,29,"Sausage, Egg & Cheese",Charley's Grilled Subs
http://chubbygrub.com/food/steak-and-egg-burrito/,650,,36,Steak & Egg Burrito,Carl's Jr.
http://chubbygrub.com/food/steak-egg-and-cheese/,620,55,25,"Steak, Egg & Cheese",Charley's Grilled Subs
http://chubbygrub.com/food/half-lb-cheesy-potato-burrito/,540,59,26,1/2 lb.* Cheesy Potato Burrito,Taco Bell
http://chubbygrub.com/food/half-lb-combo-burrito/,460,53,18,1/2 lb.* Combo Burrito,Taco Bell
http://chubbygrub.com/food/7-layer-burrito/,510,69,19,7-Layer Burrito,Taco Bell
http://chubbygrub.com/food/bc-vegetarian-black-bean-burrito-without-sour-cream-and-cheese-3/,440,71,10,BC Vegetarian Black Bean Burrito Without Sour Cream and cheese,Taco Bueno
http://chubbygrub.com/food/bean-and-cheese-burrito/,440,,19,Bean & Cheese Burrito,Carl's Jr.
http://chubbygrub.com/food/bean-and-cheese-burrito-chicken/,440,,18,Bean & Cheese Burrito – Chicken,Carl's Jr.
http://chubbygrub.com/food/bean-and-cheese-burrito-ground-beef/,500,,23,Bean & Cheese Burrito – Ground Beef,Carl's Jr.
http://chubbygrub.com/food/bean-and-cheese-burrito-steak/,460,,19,Bean & Cheese Burrito – Steak,Carl's Jr.
http://chubbygrub.com/food/bean-burrito/,370,56,11,Bean Burrito,Taco Bell
http://chubbygrub.com/food/bean-burrito-2/,370,56,11,Bean Burrito,Taco Bell
http://chubbygrub.com/food/bean-burrito-5/,604,67,29,Bean Burrito,Taco Bueno
http://chubbygrub.com/food/beef-big-ol-burrito-3/,772,57,46,Beef Big Ol’ Burrito (B.O.B.™),Taco Bueno
http://chubbygrub.com/food/beef-burrito-3/,510,41,29,Beef Burrito,Taco Bueno
http://chubbygrub.com/food/beef-potato-burrito-3/,358,32,21,Beef Potato Burrito,Taco Bueno
http://chubbygrub.com/food/beefy-5-layer-burrito/,550,68,22,Beefy 5-Layer Burrito,Taco Bell
http://chubbygrub.com/food/beefy-5-layer-burrito-2/,550,68,22,Beefy 5-Layer Burrito,Taco Bell
http://chubbygrub.com/food/black-bean-burrito-3/,490,70,15,Black Bean Burrito,Taco Bueno
http://chubbygrub.com/food/brc-burrito/,421,63,11.9,BRC Burrito,El Pollo Loco
http://chubbygrub.com/food/brc-burrito-2/,421,63,11.9,BRC Burrito,El Pollo Loco
http://chubbygrub.com/food/burrito-supreme-beef/,420,53,16,Burrito Supreme® – Beef,Taco Bell
http://chubbygrub.com/food/burrito-supreme-chicken/,400,52,12,Burrito Supreme® – Chicken,Taco Bell
http://chubbygrub.com/food/burrito-supreme-steak/,390,52,13,Burrito Supreme® – Steak,Taco Bell
http://chubbygrub.com/food/carne-asada-burrito/,610,,25,Carne Asada Burrito,Carl's Jr.
http://chubbygrub.com/food/chicken-avocado-burrito/,955,74,52.8,Chicken Avocado Burrito,El Pollo Loco
http://chubbygrub.com/food/chicken-big-ol-burrito-3/,607,53,30,Chicken Big Ol’ Burrito (B.O.B.™),Taco Bueno
http://chubbygrub.com/food/chicken-potato-burrito-3/,327,33,18,Chicken Potato Burrito,Taco Bueno
http://chubbygrub.com/food/chili-cheese-burrito/,380,41,17,Chili Cheese Burrito,Taco Bell
http://chubbygrub.com/food/chili-cheese-burrito-2/,380,41,17,Chili Cheese Burrito,Taco Bell
http://chubbygrub.com/food/combination-burrito-3/,564,54,29,Combination Burrito,Taco Bueno
http://chubbygrub.com/food/crisp-burritos-3-pieces/,540,,25,Crisp Burritos (3 pieces),Carl's Jr.
http://chubbygrub.com/food/crisp-burritos-5-pieces/,910,,42,Crisp Burritos (5 pieces),Carl's Jr.
http://chubbygrub.com/food/el-tradicional/,785,86,31.2,El Tradicional,El Pollo Loco
http://chubbygrub.com/food/fresco-bean-burrito/,350,57,9,Fresco Bean Burrito,Taco Bell
http://chubbygrub.com/food/fresco-bean-burrito-2/,350,57,9,Fresco Bean Burrito,Taco Bell
http://chubbygrub.com/food/fresco-burrito-supreme-chicken/,350,50,8,Fresco Burrito Supreme® – Chicken,Taco Bell
http://chubbygrub.com/food/fresco-burrito-supreme-steak/,340,50,9,Fresco Burrito Supreme® – Steak,Taco Bell
http://chubbygrub.com/food/grilled-chicken-burrito/,860,,44,Grilled Chicken Burrito,Carl's Jr.
http://chubbygrub.com/food/grilled-chicken-burrito-2/,430,48,18,Grilled Chicken Burrito,Taco Bell
http://chubbygrub.com/food/party-burrito-5/,374,43,18,Party Burrito®,Taco Bueno
http://chubbygrub.com/food/the-green-burrito-chicken/,800,,27,The Green Burrito® – Chicken,Carl's Jr.
http://chubbygrub.com/food/the-green-burrito-steak/,830,,30,The Green Burrito® – Steak,Carl's Jr.
http://chubbygrub.com/food/the-poblano/,900,91,38.8,The Poblano,El Pollo Loco
http://chubbygrub.com/food/the-spicy-chipotle/,845,83,34.9,The Spicy Chipotle,El Pollo Loco
http://chubbygrub.com/food/volcano-burrito/,780,80,41,Volcano Burrito,Taco Bell
http://chubbygrub.com/food/xxl-grilled-stuft-burrito-beef/,880,95,42,XXL Grilled Stuft Burrito – Beef,Taco Bell
http://chubbygrub.com/food/xxl-grilled-stuft-burrito-chicken/,840,92,35,XXL Grilled Stuft Burrito – Chicken,Taco Bell
http://chubbygrub.com/food/xxl-grilled-stuft-burrito-steak/,820,92,36,XXL Grilled Stuft Burrito – Steak,Taco Bell
http://chubbygrub.com/food/6-bacon-egg-and-cheese-omelet-sandwich/,410,45,16,"6″ Bacon, Egg & Cheese Omelet Sandwich",Subway
http://chubbygrub.com/food/asiago-cheese/,330,55,6,Asiago Cheese,Panera Bread
http://chubbygrub.com/food/asiago-cheese-demi/,160,22,4,Asiago Cheese Demi,Panera Bread
http://chubbygrub.com/food/asiago-cheese-loaf/,160,23,4,Asiago Cheese Loaf,Panera Bread
http://chubbygrub.com/food/asiago-focaccia-2/,290,39,9,Asiago Focaccia,Atlanta Bread Company
http://chubbygrub.com/food/asiago-loaf-2/,80,14,1,Asiago Loaf,Atlanta Bread Company
http://chubbygrub.com/food/asiago-strip-2/,330,60,4.5,Asiago Strip,Atlanta Bread Company
http://chubbygrub.com/food/blueberry/,330,68,1.5,Blueberry,Panera Bread
http://chubbygrub.com/food/brioche-flatbread-slice/,330,46,13,Brioche Flatbread (slice),Corner Bakery Cafe
http://chubbygrub.com/food/brioche-flatbread-whole/,1320,160,51,Brioche Flatbread (whole),Corner Bakery Cafe
http://chubbygrub.com/food/chocolate-chip-bagel/,370,69,6,Chocolate Chip Bagel,Panera Bread
http://chubbygrub.com/food/ciabatta-2/,270,55,2,Ciabatta,Atlanta Bread Company
http://chubbygrub.com/food/ciabatta-3/,150,27,2,Ciabatta,Panera Bread
http://chubbygrub.com/food/ciabatta-ficelle-v/,360,65,6,Ciabatta Ficelle – V,Corner Bakery Cafe
http://chubbygrub.com/food/cinnamon-crunch/,430,80,8,Cinnamon Crunch,Panera Bread
http://chubbygrub.com/food/cinnamon-raisin-v-slice/,220,32,7,Cinnamon Raisin – V (slice),Corner Bakery Cafe
http://chubbygrub.com/food/6-bacon-egg-and-cheese-with-avocado-omelet-sandwich/,470,48,21,"6″ Bacon, Egg & Cheese with Avocado Omelet Sandwich",Subway
http://chubbygrub.com/food/6-bacon-egg-white-and-cheese-with-avocado-omelet-sandwich/,430,48,17,"6″ Bacon, Egg (white) & Cheese with Avocado Omelet Sandwich",Subway
http://chubbygrub.com/food/6-bacon-egg-white-and-cheese-omelet-sandwich/,370,45,11,"6″ Bacon, Egg (White) and Cheese Omelet Sandwich",Subway
http://chubbygrub.com/food/6-black-forest-ham-egg-and-cheese-omelet-sandwich/,390,45,13,"6″ Black Forest Ham, Egg & Cheese Omelet Sandwich",Subway
http://chubbygrub.com/food/6-breakfast-bmt-melt-with-egg-white-omelet-sandwich/,450,46,17,6″ Breakfast B.M.T.® Melt (with Egg White) Omelet Sandwich,Subway
http://chubbygrub.com/food/6-breakfast-bmt-melt-omelet-sandwich/,490,46,22,6″ Breakfast B.M.T.® Melt Omelet Sandwich,Subway
http://chubbygrub.com/food/6-egg-and-cheese-omelet-sandwich/,360,44,12,6″ Egg & Cheese Omelet Sandwich,Subway
http://chubbygrub.com/food/6-egg-white-and-cheese-omelet-sandwich/,320,44,8,6″ Egg (White) & Cheese Omelet Sandwich,Subway
http://chubbygrub.com/food/6-egg-white-and-cheese-with-ham-omelet-sandwich/,350,45,9,6″ Egg White & Cheese (with ham) Omelet Sandwich,Subway
http://chubbygrub.com/food/6-egg-white-with-cheese-and-avocado-omelet-sandwich/,380,47,13,6″ Egg White with Cheese and Avocado Omelet Sandwich,Subway
http://chubbygrub.com/food/6-steak-egg-and-cheese-omelet-sandwich/,430,47,15,"6″ Steak, Egg & Cheese Omelet Sandwich",Subway
http://chubbygrub.com/food/6-steak-egg-white-and-cheese-omelet-sandwich/,390,47,10,"6″ Steak, Egg (White) & Cheese Omelet Sandwich",Subway
http://chubbygrub.com/food/6-sunrise-subway-melt-with-egg-white-omelet-sandwich/,430,48,13,6″ Sunrise Subway Melt ®  (with Egg White) Omelet Sandwich,Subway
http://chubbygrub.com/food/6-sunrise-subway-melt-omelet-sandwich/,470,48,17,6″ Sunrise Subway Melt ® Omelet Sandwich,Subway
http://chubbygrub.com/food/6-western-egg-and-cheese-omelet-sandwich/,390,46,13,"6″ Western, Egg & Cheese Omelet Sandwich",Subway
http://chubbygrub.com/food/6-western-egg-white-and-cheese-omelet-sandwich/,350,46,9,"6″ Western, Egg (White) & Cheese Omelet Sandwich",Subway
http://chubbygrub.com/food/anaheim-panini-egg-whites/,470,470,470,Anaheim Panini (Egg Whites),Corner Bakery Cafe
http://chubbygrub.com/food/anaheim-panini-whole-eggs/,550,39,32,Anaheim Panini (Whole Eggs),Corner Bakery Cafe
http://chubbygrub.com/food/asiago-cheese-bagel-with-bacon/,610,54,28,Asiago Cheese Bagel with Bacon,Panera Bread
http://chubbygrub.com/food/asiago-cheese-bagel-with-egg-and-cheese/,490,54,19,Asiago Cheese Bagel with Egg and Cheese,Panera Bread
http://chubbygrub.com/food/asiago-cheese-bagel-with-sausage/,650,55,32,Asiago Cheese Bagel with Sausage,Panera Bread
http://chubbygrub.com/food/cinnamon-raisin-v-whole/,2540,389,87,Cinnamon Raisin – V (whole),Corner Bakery Cafe
http://chubbygrub.com/food/cinnamon-raisin-bread-2/,270,50,4.5,Cinnamon Raisin Bread,Atlanta Bread Company
http://chubbygrub.com/food/cinnamon-raisin-loaf/,170,32,3,Cinnamon Raisin Loaf,Panera Bread
http://chubbygrub.com/food/cinnamon-swirl-and-raisin/,320,64,2.5,Cinnamon Swirl & Raisin,Panera Bread
http://chubbygrub.com/food/country-boule-vg-slice/,80,16,0,Country Boule – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/country-boule-vg-whole/,1040,213,3,Country Boule – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/country-large-oblong-vg-slice/,170,33,1,Country Large Oblong – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/country-large-oblong-vg-whole/,4220,862,16,Country Large Oblong – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/country-loaf/,140,27,0.5,Country Loaf,Panera Bread
http://chubbygrub.com/food/country-miche/,140,28,0.5,Country Miche,Panera Bread
http://chubbygrub.com/food/country-small-oblong-vg-slice/,110,22,0,Country Small Oblong – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/country-small-oblong-vg-whole/,2600,532,8,Country Small Oblong – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/dry-jack-cheese-biscuit-mini/,160,16,9,"Dry Jack Cheese Biscuit, mini",Panera Bread
http://chubbygrub.com/food/everything/,300,59,2.5,Everything,Panera Bread
http://chubbygrub.com/food/focaccia/,180,28,4.5,Focaccia,Panera Bread
http://chubbygrub.com/food/focaccia-loaf-vg-slice/,110,19,1.5,Focaccia Loaf – VG (slice),Corner Bakery Cafe
http://chubbygrub.com/food/focaccia-loaf-vg-whole/,1040,190,15,Focaccia Loaf – VG (whole),Corner Bakery Cafe
http://chubbygrub.com/food/focaccia-with-asiago-cheese/,160,23,5,Focaccia with Asiago Cheese,Panera Bread
http://chubbygrub.com/food/french-baguette-2/,90,19,0,French Baguette,Atlanta Bread Company
http://chubbygrub.com/food/french-baguette-3/,150,30,1,French Baguette,Panera Bread
http://chubbygrub.com/food/french-loaf-2/,110,23,0,French Loaf,Atlanta Bread Company
http://chubbygrub.com/food/french-miche/,140,28,0.5,French Miche,Panera Bread
http://chubbygrub.com/food/french-roll-2/,160,34,0.5,French Roll,Atlanta Bread Company
http://chubbygrub.com/food/bacon-egg-and-cheese-bagel/,560,56,27,"Bacon, Egg & Cheese Bagel",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-biscuit-3/,460,,26,"Bacon, Egg & Cheese Biscuit",Carl's Jr.
http://chubbygrub.com/food/bacon-egg-and-cheese-biscuit-4/,420,37,23,"Bacon, Egg & Cheese Biscuit",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-biscuit-5/,480,43,27,"Bacon, Egg & Cheese Biscuit",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-mcgriddles/,420,48,18,"Bacon, Egg & Cheese McGriddles®",McDonald's
http://chubbygrub.com/food/bacon-egg-and-cheese-on-ciabatta/,510,43,25,"Bacon, Egg & Cheese on Ciabatta",Panera Bread
http://chubbygrub.com/food/bacon-egg-and-cheese-with-avocado-3-flatbread/,240,23,12,"Bacon, Egg & Cheese with Avocado 3″ Flatbread",Subway
